DatasetUUID,Topic
3fa994af-45bf-4dde-b26b-290df29d587b,Local Government
efcb306e-8ff3-4ed0-9e8c-3126d868f0f5,Local Government
ede44a8f-3215-4e49-9494-ab69a7550e7f,Local Government
16ddaed9-c957-43a5-b0b5-9b37d80bd193,Local Government
cfe73e40-00de-4777-8e67-bbad990a5a30,Local Government
dbc51eed-a804-467f-b582-ec8dd2d2afb7,Local Government
e4847c8c-0ae7-4018-a493-119979cd4094,Local Government
b7f1ca02-d563-4227-80b0-d6825c3546e0,Local Government
0728847b-bc01-4468-ba7d-355f14d6fa22,Local Government
0fb1badc-bc45-4fa8-bba9-7d58e91cd296,Local Government
e947089c-f685-4b18-9ca4-60fd058e55a6,Local Government
00103749-7b5d-4504-a3c5-20b4e6506160,ClimateFood ResilienceFood Safety and NutritionHuman Health
00103749-7b5d-4504-a3c5-20b4e6506160,Food Resilience
00103749-7b5d-4504-a3c5-20b4e6506160,Food Safety and Nutrition
00103749-7b5d-4504-a3c5-20b4e6506160,Human Health
5c79a11b-2461-4b9e-acc7-e54caba2d92a,ClimateFood ResilienceFood Safety and NutritionHuman Health
5c79a11b-2461-4b9e-acc7-e54caba2d92a,Food Resilience
5c79a11b-2461-4b9e-acc7-e54caba2d92a,Food Safety and Nutrition
5c79a11b-2461-4b9e-acc7-e54caba2d92a,Human Health
061b7083-f339-4952-9a2f-79e61127443c,Local Government
f24fc39d-51ed-44ad-83cf-c4f071973dfd,Climate
5340bfe5-e190-4c02-a2e5-5958c34ab8c2,Local Government
642b18b6-bf12-46f7-bcd8-c7d53cf160c0,Local Government
fa7bbfb7-7f50-4182-83c0-42618afc180e,ClimateEnergy InfrastructureEnergy Resources
fa7bbfb7-7f50-4182-83c0-42618afc180e,Energy Infrastructure
fa7bbfb7-7f50-4182-83c0-42618afc180e,Energy Resources
91cdb2c5-a07c-42ea-8169-930daf35e9f9,Local Government
bd6197a3-764c-4c60-bb70-f97cd0a66495,Local Government
f6e764f5-9742-4f09-8830-9e10213ea24d,Local Government
038deea2-0b02-48b4-9980-cbce1c4986e3,Local Government
aae9f6a0-be28-4f38-876d-6eb59383400b,Local Government
2567f290-c844-4bc0-a167-59b0deb3a402,Local Government
516a3a04-f831-43e6-a82b-548f31855e6c,ClimateFood ResilienceFood SecurityHuman Health
516a3a04-f831-43e6-a82b-548f31855e6c,Food Resilience
516a3a04-f831-43e6-a82b-548f31855e6c,Food Security
516a3a04-f831-43e6-a82b-548f31855e6c,Human Health
780f6dc3-23e1-46d4-acea-91df35cde867,ClimateHuman Health
780f6dc3-23e1-46d4-acea-91df35cde867,Human Health
16573a83-ec69-4734-95b3-b336cd4b0ff1,Local Government
8ae4320e-cd97-44b7-a03a-33e37b950912,Local Government
a3b2d377-10dc-4986-9fae-f64a489666ac,Local Government
74b564ca-ff70-4797-adf0-fc0ec42064ff,ClimateArcticCoastal FloodingEcosystem VulnerabilityEnergy InfrastructureFood ResilienceHuman HealthTransportationWater
74b564ca-ff70-4797-adf0-fc0ec42064ff,Arctic
74b564ca-ff70-4797-adf0-fc0ec42064ff,Coastal Flooding
74b564ca-ff70-4797-adf0-fc0ec42064ff,Ecosystem Vulnerability
74b564ca-ff70-4797-adf0-fc0ec42064ff,Energy Infrastructure
74b564ca-ff70-4797-adf0-fc0ec42064ff,Food Resilience
74b564ca-ff70-4797-adf0-fc0ec42064ff,Human Health
74b564ca-ff70-4797-adf0-fc0ec42064ff,Transportation
74b564ca-ff70-4797-adf0-fc0ec42064ff,Water
1fcf10b7-d6be-4354-aea0-d2b43d8d7de1,ClimateBusinessHealthAsianTransportationTransportation Flow
1fcf10b7-d6be-4354-aea0-d2b43d8d7de1,Business
