DatasetUUID,Tag
6a57bf7b-8585-447f-9ed6-a929c555c639,meals
6a57bf7b-8585-447f-9ed6-a929c555c639,nutrition
6a57bf7b-8585-447f-9ed6-a929c555c639,sfsp
6a57bf7b-8585-447f-9ed6-a929c555c639,site
6a57bf7b-8585-447f-9ed6-a929c555c639,sso
6a57bf7b-8585-447f-9ed6-a929c555c639,summer
6a57bf7b-8585-447f-9ed6-a929c555c639,tda
6a57bf7b-8585-447f-9ed6-a929c555c639,texas-department-of-agriculture
59f6e99e-7ae8-40b9-8854-c69644c3ee85,arrests
59f6e99e-7ae8-40b9-8854-c69644c3ee85,children-with-disabilities
59f6e99e-7ae8-40b9-8854-c69644c3ee85,civil-rights
59f6e99e-7ae8-40b9-8854-c69644c3ee85,crdc
59f6e99e-7ae8-40b9-8854-c69644c3ee85,disability
59f6e99e-7ae8-40b9-8854-c69644c3ee85,elementary-and-secondary
59f6e99e-7ae8-40b9-8854-c69644c3ee85,language
59f6e99e-7ae8-40b9-8854-c69644c3ee85,law-enforcement
59f6e99e-7ae8-40b9-8854-c69644c3ee85,minority
59f6e99e-7ae8-40b9-8854-c69644c3ee85,ocr
59f6e99e-7ae8-40b9-8854-c69644c3ee85,race
59f6e99e-7ae8-40b9-8854-c69644c3ee85,student-enrollment
59f6e99e-7ae8-40b9-8854-c69644c3ee85,student-retention
59f6e99e-7ae8-40b9-8854-c69644c3ee85,students
f9231b3c-c245-44bf-9fd2-677e92de242f,incidents
11af388d-91fc-468e-9f53-e61433b72d56,alabama
11af388d-91fc-468e-9f53-e61433b72d56,alaska
11af388d-91fc-468e-9f53-e61433b72d56,american samoa
11af388d-91fc-468e-9f53-e61433b72d56,arizona
11af388d-91fc-468e-9f53-e61433b72d56,arkansas
11af388d-91fc-468e-9f53-e61433b72d56,california
11af388d-91fc-468e-9f53-e61433b72d56,canada
11af388d-91fc-468e-9f53-e61433b72d56,chesapeake bay
11af388d-91fc-468e-9f53-e61433b72d56,chesapeake bay watershed
11af388d-91fc-468e-9f53-e61433b72d56,colorado
11af388d-91fc-468e-9f53-e61433b72d56,connecticut
11af388d-91fc-468e-9f53-e61433b72d56,delaware
11af388d-91fc-468e-9f53-e61433b72d56,environment
11af388d-91fc-468e-9f53-e61433b72d56,florida
11af388d-91fc-468e-9f53-e61433b72d56,georgia
11af388d-91fc-468e-9f53-e61433b72d56,hawaii
11af388d-91fc-468e-9f53-e61433b72d56,health
11af388d-91fc-468e-9f53-e61433b72d56,human
11af388d-91fc-468e-9f53-e61433b72d56,idaho
11af388d-91fc-468e-9f53-e61433b72d56,illinois
11af388d-91fc-468e-9f53-e61433b72d56,indiana
11af388d-91fc-468e-9f53-e61433b72d56,iowa
11af388d-91fc-468e-9f53-e61433b72d56,kansas
11af388d-91fc-468e-9f53-e61433b72d56,kentucky
11af388d-91fc-468e-9f53-e61433b72d56,land
11af388d-91fc-468e-9f53-e61433b72d56,louisiana
11af388d-91fc-468e-9f53-e61433b72d56,maine
11af388d-91fc-468e-9f53-e61433b72d56,maryland
11af388d-91fc-468e-9f53-e61433b72d56,massachusetts
11af388d-91fc-468e-9f53-e61433b72d56,mexico
11af388d-91fc-468e-9f53-e61433b72d56,michigan
11af388d-91fc-468e-9f53-e61433b72d56,minnesota
11af388d-91fc-468e-9f53-e61433b72d56,mississippi
11af388d-91fc-468e-9f53-e61433b72d56,missouri
11af388d-91fc-468e-9f53-e61433b72d56,montana
11af388d-91fc-468e-9f53-e61433b72d56,nebraska
11af388d-91fc-468e-9f53-e61433b72d56,nevada
11af388d-91fc-468e-9f53-e61433b72d56,new hampshire
11af388d-91fc-468e-9f53-e61433b72d56,new jersey
11af388d-91fc-468e-9f53-e61433b72d56,new mexico
11af388d-91fc-468e-9f53-e61433b72d56,new york
11af388d-91fc-468e-9f53-e61433b72d56,north carolina
11af388d-91fc-468e-9f53-e61433b72d56,north dakota
11af388d-91fc-468e-9f53-e61433b72d56,ohio
11af388d-91fc-468e-9f53-e61433b72d56,oklahoma
11af388d-91fc-468e-9f53-e61433b72d56,oregon
11af388d-91fc-468e-9f53-e61433b72d56,pennsylvania
11af388d-91fc-468e-9f53-e61433b72d56,puerto rico
11af388d-91fc-468e-9f53-e61433b72d56,recreation
11af388d-91fc-468e-9f53-e61433b72d56,rhode island
11af388d-91fc-468e-9f53-e61433b72d56,south carolina
11af388d-91fc-468e-9f53-e61433b72d56,south dakota
11af388d-91fc-468e-9f53-e61433b72d56,tennessee
11af388d-91fc-468e-9f53-e61433b72d56,texas
11af388d-91fc-468e-9f53-e61433b72d56,transportation
11af388d-91fc-468e-9f53-e61433b72d56,united states
11af388d-91fc-468e-9f53-e61433b72d56,utah
11af388d-91fc-468e-9f53-e61433b72d56,vermont
11af388d-91fc-468e-9f53-e61433b72d56,virginia
11af388d-91fc-468e-9f53-e61433b72d56,washington
11af388d-91fc-468e-9f53-e61433b72d56,washington dc
11af388d-91fc-468e-9f53-e61433b72d56,west virginia
11af388d-91fc-468e-9f53-e61433b72d56,wisconsin
11af388d-91fc-468e-9f53-e61433b72d56,wyoming
94fbed53-9549-4d01-89fe-58f81a970ea3,crime
94fbed53-9549-4d01-89fe-58f81a970ea3,police
61fdacf7-0a37-4d69-9cbc-94b99e01fc89,consumer-health
61fdacf7-0a37-4d69-9cbc-94b99e01fc89,data-distribution
61fdacf7-0a37-4d69-9cbc-94b99e01fc89,dataset
61fdacf7-0a37-4d69-9cbc-94b99e01fc89,environmental-health
61fdacf7-0a37-4d69-9cbc-94b99e01fc89,toxicology
4df7b191-c209-4e4c-a8ed-dc0187c48c3d,adults
4df7b191-c209-4e4c-a8ed-dc0187c48c3d,brfss
4df7b191-c209-4e4c-a8ed-dc0187c48c3d,dnpao
4df7b191-c209-4e4c-a8ed-dc0187c48c3d,fruit
4df7b191-c209-4e4c-a8ed-dc0187c48c3d,nutrition
4df7b191-c209-4e4c-a8ed-dc0187c48c3d,obesity
4df7b191-c209-4e4c-a8ed-dc0187c48c3d,overweight
4df7b191-c209-4e4c-a8ed-dc0187c48c3d,physical-activity
4df7b191-c209-4e4c-a8ed-dc0187c48c3d,vegetables
4df7b191-c209-4e4c-a8ed-dc0187c48c3d,walking
6b3e6604-5099-4c22-b6bf-f89a26b2aa55,519e6cdf-3011-4b75-9e12-34a45cb17fd8
6b3e6604-5099-4c22-b6bf-f89a26b2aa55,advanced-placement
6b3e6604-5099-4c22-b6bf-f89a26b2aa55,civil-rights
6b3e6604-5099-4c22-b6bf-f89a26b2aa55,discrimination
6b3e6604-5099-4c22-b6bf-f89a26b2aa55,education-of-students-with-disabilities
6b3e6604-5099-4c22-b6bf-f89a26b2aa55,elementary-and-secondary-education
6b3e6604-5099-4c22-b6bf-f89a26b2aa55,enrollment-demographics
6b3e6604-5099-4c22-b6bf-f89a26b2aa55,graduation-testing
6b3e6604-5099-4c22-b6bf-f89a26b2aa55,mental-retardation
6b3e6604-5099-4c22-b6bf-f89a26b2aa55,minority-groups
6b3e6604-5099-4c22-b6bf-f89a26b2aa55,schools
6b3e6604-5099-4c22-b6bf-f89a26b2aa55,sex-discrimination
6b3e6604-5099-4c22-b6bf-f89a26b2aa55,special-education-services
6b3e6604-5099-4c22-b6bf-f89a26b2aa55,student-discipline
6b3e6604-5099-4c22-b6bf-f89a26b2aa55,student-pregnancy
6b3e6604-5099-4c22-b6bf-f89a26b2aa55,students
a2854a10-d698-4b2f-a19a-5d627d50de8c,covid
a2854a10-d698-4b2f-a19a-5d627d50de8c,covid-19
a2854a10-d698-4b2f-a19a-5d627d50de8c,covid-net
a2854a10-d698-4b2f-a19a-5d627d50de8c,covid19
a2854a10-d698-4b2f-a19a-5d627d50de8c,covidnet
a2854a10-d698-4b2f-a19a-5d627d50de8c,hospitalization-rate
a2854a10-d698-4b2f-a19a-5d627d50de8c,hospitalizations
a2854a10-d698-4b2f-a19a-5d627d50de8c,rate
a2854a10-d698-4b2f-a19a-5d627d50de8c,rates-by-age-group
a2854a10-d698-4b2f-a19a-5d627d50de8c,rates-by-race-and-ethnicity
a2854a10-d698-4b2f-a19a-5d627d50de8c,resp-net
a2854a10-d698-4b2f-a19a-5d627d50de8c,respiratory-disease
a2854a10-d698-4b2f-a19a-5d627d50de8c,respiratory-illness
